udtryk_id	talemaade_udtryk	ddo_definition
59001965	bringe frem i lyset	blive/gøre synlig for offentligheden
59011096	ballonen revner	en illusion brister; noget går galt
59000846	bagsiden af medaljen	den negative side af noget positivt
59004176	have benzin i blodet	være glad for motorkøretøjer og for at køre (stærkt) i dem
59007481	danse på vulkaner	leve sorgløst selvom der er stor risiko for at noget går galt; optræde letsindigt
59004502	stoppe mens legen er god	holde op mens man stadig har succes, inden det går galt
59003698	det haster ikke mere end det jager	man kan tage det roligt; man behøver ikke at skynde sig så meget
59012097	til sidste blodsdråbe	indtil der ikke er mere liv
59009600	vide hvad klokken er	vide at noget alvorligt eller afgørende er sket; vide hvordan noget vil ende eller udvikle sig
59004182	have en ræv bag øret	være snu og udspekuleret
59001911	have ild i enden	fare omkring; være meget foretagsom
59009349	ikke alt der glimter, er guld	blot fordi noget ser ud til at være fint og værdifuldt, er det ikke ensbetydende med at det er det
59004882	en møllesten om halsen på nogen	en byrde eller belastning for nogen
59003323	give sorteper videre	lade nogle ubehagelige omstændigheder gå ud over andre; overlade ansvaret for en ubehagelig afgørelse til en anden
59000597	have rent mel i posen	ikke have noget at skjule; være uskyldig
59005949	få så hatten passer	få noget i rigelig mængde, fx kritik, skældud eller alkohol
59000330	råbe vagt i gevær	advare mod en bestemt, farlig eller uheldig udvikling
59006723	bide i det sure æble	modvilligt gøre noget ubehageligt
59005136	koge suppe på en pølsepind	beskæftige sig med eller behandle et ubetydeligt eller overflødigt emne
59011117	være på trapperne	være nært forestående; snart komme
59012015	så slutter festen	på dette tidspunkt er det positive eller glædelige forbi
59000362	hænge i bremsen	ikke være så hurtig eller effektiv som normalt eller forventet
59003870	stikke næsen i sky	optræde overlegent
59007633	have en aktie i	være aktiv deltager i; have indflydelse på
59006354	træde op på den store klinge	anstrenge sig; arbejde hårdt
59009058	apostlenes heste	benene, brugt til at gå på
59007365	sejle på varmen	sejle i de varme lande, i troperne
59011487	spille fransk klovn	opføre sig (ufrivilligt) komisk
59008195	være som snydt ud af næsen på nogen	ligne en anden meget, især mht. udseende
59006148	en fjer i hatten	noget som man kan være stolt af; en triumf
59007637	gå nogen nærmere på klingen	presse nogen til at afsløre noget som vedkommende forsøger at skjule
59001229	luften går af ballonen	en begivenhed eller et fænomen bliver mindre spændende; nogen mister handlekraften eller interessen
59010532	en ulykke kommer sjældent alene	når noget går galt, kan man forvente at endnu mere går galt
59008304	de bredeste skuldre skal bære de tungeste byrder	de personer der tjener mest, bør betale mest til dækning af samfundets fælles udgifter
59000395	en køn plante	en uopdragen eller på anden måde ubehagelig person
59005131	slibe kanterne af nogen	få et menneske til at være lettere at omgås idet man sørger for at vedkommende efterhånden tilpasser sig
59002144	så let som at klø sig selv i nakken	uhyre nemt
59001120	have noget hængende over hovedet	have noget ubehageligt i vente; være i en presset situation, fx arbejdsmæssigt, tidsmæssigt eller økonomisk
59013017	det er for sent at kaste brønden til når barnet er druknet	det er for sent at prøve at forhindre noget når skaden er sket
59001382	alt lykkes i en gasovn	alting kan lade sig gøre med de rigtige hjælpemidler eller under de rigtige betingelser
59002853	når man taler om solen, så skinner den	bruges for at udtrykke glad overraskelse når nogen man netop har talt om, uventet indfinder sig
59003026	klappe hesten	tage det roligt; slappe af; se tiden an
59001730	der falder skæl fra ens øjne	pludselig indser man noget, ofte en sags rette (og ubehagelige) sammenhæng
59004783	til at komme i papirmøllen	ubrugelig; kassabel
59005912	I må kalde mig Mads hvis ..	bruges som forsikring om at noget er eller vil vise sig at være usandt
59007472	det pulveriserende liv	samfundslivet eller erhvervslivet med den hektiske, opslidende aktivitet som det er forbundet med
59004556	lugten i bageriet	reglerne, forholdene og atmosfæren et bestemt sted
59005523	brændt barn skyr ilden	hvis man én gang er kommet galt af sted med noget, undgår man at indlade sig på det igen
59003374	klædt af til skindet	uden flere penge eller andre værdier tilbage
59010014	have rene hænder	være uskyldig i forbindelse med en uheldig, kritisabel eller kriminel udvikling eller foreteelse idet man har optrådt ærligt, lovlydigt og ubestikkeligt
59003035	have snuden i sporet	ihærdigt og vedholdende arbejde på at nå et mål man har sat sig for
59008903	når krybben er tom, bides hestene	når der er knaphed eller mangel på noget, opstår der konflikter mellem mennesker
59001172	bryde isen	nærme sig hinanden i ord eller handling; gøre stemningen uformel
59011376	stærk tobak	noget der er forargeligt, urimeligt, provokerende eller på anden måde gør stærkt indtryk
59005841	hovmod står for fald	en person der er hovmodig, lider let nederlag, ofte pga. sit hovmod
59000022	tage noget i stiv arm	bære modgang med styrke og sindsro
59003112	få en appelsin i turbanen	pludselig og uventet opnå noget fordelagtigt; have heldet med sig
59012127	sagen er bøf	sagen er i orden
59005388	grave sin egen grav	blive årsag til sin egen ulykke
59002317	heldig kartoffel	heldig eller lykkelig person
59005060	have bly i røven	være meget langsom
59011081	som at slå vand på en gås	uden virkning; forgæves
59008704	læse noget som Fanden læser Bibelen	læse noget med dårlig forståelse; udlægge noget til egen fordel uden at der er belæg for det
59010207	skumme fløden	tage fordelene eller det bedste ved noget, ofte på andres bekostning og uden at gøre sig fortjent til det
59001873	den sorte klap går ned	bruges for at udtrykke at en person pludselig ikke kan huske noget bestemt
59007913	slå op i banen	(pludselig) miste koncentrationen og evnen til at levere en god præstation; sætte farten ned og overlade initiativet til andre
59009167	sidste skud på stammen	person eller ting som er resultatet af den seneste udvikling inden for et område
59004357	tage benene på nakken	løbe (hurtigt) væk; stikke af; flygte
59000741	rydde nogen af vejen	slå nogen ihjel
59000389	kunne høre græsset gro	have en meget god hørelse
59012135	ryste som et espeløv	ryste meget, fx af skræk, ophidselse, nervøsitet eller kulde
59006815	vandene skilles	meningerne bliver forskellige (pga. noget); der opstår uenighed (pga. noget)
59002997	gå uden om noget som katten om den varme grød	forholde sig tøvende til en bestemt sag med en blandet følelse af interesse og ubehag
59003219	føre til torvs	gøre bekendt i en større kreds; offentliggøre
59005534	stikke næsen indenfor	vove sig et sted hen i kort tid; komme på et kort besøg
59004409	tung at danse med	vanskelig at have med at gøre, fx at få til at gøre noget
59001867	skræve mere end bukserne kan holde	prøve på at gøre noget som det viser sig man ikke kan gennemføre
59008459	blive lang i ansigtet	blive skuffet; føle sig snydt
59010604	male sig selv op i et hjørne	selvforskyldt komme i en fastlåst eller håbløs situation
59010839	hammeren falder	der sker noget som får afgørende og ofte skæbnesvangre følger
59000620	ligge lunt i svinget	være i en fordelagtig position
59001072	begge fødder på jorden	bruges i udtryk om at være nøgtern og realistisk
59003950	hvor længe var Adam i Paradis	bruges for at udtrykke at en god og lykkelig tilstand desværre kun var kortvarig
59011103	vide hvad vej vinden blæser	vide i hvilken retning en sag udvikler sig, og indrette sig derefter
59008950	holde skindet på næsen	lige netop klare en økonomisk betrængt situation; med nød og næppe klare en prekær situation
59004132	i nøden skal man kende sine venner	de rigtige venner er dem der holder fast ved én, selv i modgang
59005392	lige børn leger bedst	personer med nogenlunde samme sociale status, interesser eller lignende forliges eller samarbejder bedst
59005152	være på hælene	have problemer; være meget træt og nedslidt
59006967	blive vejet og fundet for let	blive vurderet og dernæst forkastet
59002699	hænge nogen langt ud af halsen	være uudholdeligt fordi man er træt af det
59005419	man ved hvad man har, men ikke hvad man får	man kan risikere at forandringer fører til en forværring i stedet for en forbedring
59009664	dér ligger hunden begravet	dér er det egentlige problem
59006359	ukrudt forgår ikke så let	nogen eller noget er sejlivet og trodser forventninger eller håb om udslettelse
59005451	man skal ikke kaste med sten når man selv bor i et glashus	man skal ikke beskylde eller kritisere nogen for noget som man selv (til en vis grad) kan beskyldes eller kritiseres for
59004831	skyde en hvid pind efter	opgive ønsket eller drømmen om
59009340	have en heldig hånd	være dygtig og heldig i en bestemt sag eller i en bestemt henseende
59011302	sidde med livet i hænderne	være meget nervøs, spændt eller bange
59002721	have flere strenge at spille på	være alsidig; have mange talenter, evner eller muligheder (og dermed befinde sig i en gunstig situation)
59004417	der er forår i luften	der er tegn på eller antydninger af forår (øretæver, amoriner, ..)
59011932	vand på nogens mølle	noget der passer godt med nogens ønsker, hensigter eller meninger
59012826	lang som et ondt år	meget lang
59012515	alt hvad remmer og tøj kan holde	så hurtigt eller kraftfuldt som muligt
59004850	se sol, måne og stjerner	være i en tilstand af stor nydelse eller stor smerte
59002251	have foden under eget bord	have sit eget hjem eller sin egen virksomhed
59005192	gale katte får revne skind	personer der handler ubetænksomt og voldsomt, kommer let til skade
59006418	love guld og grønne skove	love rigdom, materielle eller andre goder, dog uden at der nødvendigvis er dækning for løfterne
59004807	finde sine egne ben	finde ud af hvad man mener om en bestemt sag
59004558	slag i ansigtet	krænkelse; nederlag
59000256	slå til søren	bruge (mange) penge
59004824	spænde livremmen ind	spare; indskrænke forbruget
59008022	den vej skal vi alle	vi skal alle dø
59003298	være over alle bjerge	være så langt væk allerede at det er håbløst at optage forfølgelsen
59004479	have ordet i sin magt	være dygtig til at formulere sig
59001164	på éns glatte ansigt	med et tillidvækkende ydre som eneste garanti
59000603	gå op i limningen	bryde sammen fysisk eller psykisk; ophøre (med at eksistere)
59005461	plejer er død	man behøver ikke nødvendigvis gøre som man plejer; denne gang gør vi det på en anden måde
59001691	der er ingen ko på isen	der er ingen problemer eller fare
59006714	ride med på en bølge	følge en modestrømning på en uselvstændig måde
59004477	give den hele armen	gøre noget med stor energi eller anstrengelse
59011738	i sin visdom	bruges ofte ironisk for at udtrykke at man mener at nogen har begået en fejl, opført sig tåbeligt eller lignende
59004373	save den gren over man selv sidder på	handle til skade for sig selv; ødelægge sine muligheder for fortsat beskæftigelse
59011094	have en skarp tunge	tale hårdt og direkte og med hvasse, kritiske bemærkninger
59012931	eneste høne i kurven	eneste kvinde i en gruppe eller forsamling
59010580	brænde alle broer bag sig	bryde helt med sin fortid; afskære sig fra at vende tilbage til noget eller nogen
59002745	enhver er sig selv nærmest	mennesket tænker først og fremmest på sin egen fordel når det skal vælge
59011205	ikke ride den dag man sadler	være længe om at skride til konkret handling; være længe om at træffe en beslutning
59005130	slikke frimærker	udføre underordnet, ensformigt kontorarbejde
59012185	træerne vokser ikke ind i himlen	en enkelt succes er ingen garanti for fortsat fremgang
59000842	vende vrangen ud	vise en ukendt, ofte ubehagelig eller problematisk, men sand side af noget eller nogen, evt. sig selv
59007157	have bly i benene	have svært ved at bevæge sig pga. træthed eller lignende
59000966	rive hovedet af nogen	give nogen en voldsom irettesættelse; skælde nogen ud
59005323	tyv tror hvermand stjæler	bruges om en person som tillægger andre personer sine egne fejl og svagheder
59000887	på et hængende hår	med nød og næppe; kun lige akkurat
59004511	fare rundt som en flue i en flaske	fare (forvirret) rundt; have meget travlt
59012977	som skidt fra en spædekalv	hurtigt og i en stor mængde
59005660	blod er tykkere end vand	folk man er beslægtet med, vil altid have en fortrinsstilling
59004461	himmel og jord står i ét	det er et voldsomt uvejr med storm og regn eller sne
59002674	ikke kunne se en hånd for sig	ikke kunne se noget pga. mørke, tåge, snevejr eller lignende
59012356	man skal kravle før man kan gå	man bør begynde med simple og elementære opgaver før man giver sig i kast med komplicerede
59002193	tage brødet ud af munden på nogen	forhindre nogen i at arbejde og tjene penge; gøre nogen arbejdsløs
59013103	hverken til at hugge eller stikke i	umulig at overtale eller få til at skifte mening
59004782	arbejde som en hest	arbejde meget hårdt og indædt
59011865	for nogens blå øjnes skyld	bruges for at udtrykke at noget der ydes, udelukkende ydes af hensyn til modtageren uden fordel for giveren
59003616	løbe hornene af sig	udfolde sig energisk, især kropsligt eller seksuelt, i en tidlig fase af et forløb for siden at falde til ro
59011893	om smagen kan der ikke diskuteres	det er nytteløst at forsøge at nå til enighed om noget der grundlæggende er et spørgsmål om hvad den enkelte foretrækker
59007701	have nerverne uden på tøjet	være synligt nervøs
59007696	have bukserne på	være den der bestemmer; være den dominerende part
59010897	slå en streg over noget	se bort fra noget; lade som om noget ikke er sket
59004866	spænde buen for hårdt	stille for store krav eller forventninger
59011742	lægge alle sine æg i samme kurv	kun satse på én mulighed og dermed løbe en risiko
59004099	fare i blækhuset	reagere vredt eller kritisk på noget ved at skrive et indlæg imod det (især i form af et læserbrev)
59000977	søbe den kål man selv har spyttet i	(være nødt til at) acceptere noget man tidligere har forkastet
59005116	støde nogen på manchetterne	fornærme eller krænke nogen
59002375	det skriger til himlen	det er uhyrligt, skandaløst og dybt rystende og kræver øjeblikkelig indgriben
59004507	sur røv	bruges om en meget uheldig eller ærgerlig situation
59003628	det hører man ikke når musikken spiller	det gør ikke så meget; det vil ingen lægge mærke til
59008349	som at se maling tørre	bruges især i sammenlignende konstruktioner for at betegne et fænomen eller en aktivitet som meget kedelig
59007981	en storm i et glas vand	voldsomt røre pga. en bagatel
59005907	stege i sit eget fedt	tage de ubehagelige følger af sine handlinger eller udtalelser
59006002	miraklernes tid er ikke forbi	der er stadigvæk håb; der kan stadigvæk ske særdeles overraskende ting
59005573	bukke begge ender sammen på	give en omgang tæsk
59002320	med det yderste af neglene	med nød og næppe; kun lige akkurat
59003284	ride sin kæphest	(igen) give udtryk for sin velkendte mening eller tale om et bestemt emne
59009419	en hård nød at knække	vanskelig opgave eller situation
59001614	gøre kål på	tilintetgøre; vinde over
59007270	det går ikke altid som præsten prædiker	tingene udvikler sig ikke altid sådan som man havde regnet med
59001661	gnide sig op ad nogen	være påtrængende og indsmigrende
59004915	hår i suppen	mindre fejl eller skavank; ubetydelig detalje
59012245	træde nogen over tæerne	fornærme eller på anden vis optræde respektløst eller stødende
59004114	tage skeen i den anden hånd	ændre fremgangsmåde, taktik eller adfærd (fordi den tidligere anvendte er uønsket, har vist sig uheldig eller lignende)
59006753	man kan også købe guld for dyrt	det at blive velhavende kan have for store menneskelige omkostninger, fx tabet af væsentlige åndelige værdier
59012618	rønnebærrene er sure	bruges om det at man omtaler noget ellers attraktivt som værdiløst eller ligegyldigt når man ikke selv kan opnå det
59009845	passe som fod i hose	passe godt; gå meget nemt
59004704	nerverne står på højkant	nogen er meget nervøs og anspændt
59010882	tro som guld	meget trofast
59012819	tælle på knapperne	være i tvivl om hvad man skal beslutte sig for; være i vildrede
59006699	der er intet nyt under solen	bruges for at udtrykke at der ikke er betydningsfulde nyheder eller forandringer
59000262	en gang til for prins Knud	bruges når man gentager noget eller siger det ekstra tydeligt fordi samtalepartneren er lidt tungt opfattende
59004365	krage søger mage	man har tilbøjelighed til at omgås ligesindede
59003273	ønske nogen hen hvor peberet gror	ønske at nogen befandt sig meget langt væk så man slap for dét besvær
59002360	rotterne forlader den synkende skude	nogen trækker sig ud af et forehavende fordi det er på vej til at mislykkes
59004879	så god som dagen er lang	ualmindelig sød og rar
59001715	sætte fingeren på det ømme punkt	finde og gøre opmærksom på et punkt hvor der er et problem, eller hvor noget eller nogen kan kritiseres
59006727	skyde gråspurve med kanoner	bruge alt for stærke midler i forhold til situationen; overdrive; overreagere
59004681	de gode græd, og de onde lo	bruges som ironisk kommentar i en situation hvor man beklager at de gode kræfter led nederlag
59004454	én svale gør ingen sommer	ét eksempel på noget positivt medfører ikke nødvendigvis en generel bedring
59012331	tage en kugle for nogen	påtage sig en ubehagelig og evt. skæbnesvanger opgave sådan at en anden slipper for den
59006807	have både til gården og til gaden	have en stor bagdel og en stor barm
59008312	for mange kokke fordærver maden	hvis (for) mange personer deltager i noget, risikerer det at medføre et dårligt resultat
59012795	trække læsset	gøre den største og mest besværlige del af arbejdet
59003737	spise kirsebær med de store	omgås eller konkurrere med sine overmænd
59004837	have en trumf i ærmet	råde over et (hemmeligt) middel der kan bringe en i en fordelagtig situation
59004561	en fis i en hornlygte	opblæst bagatel; flop, fiasko; en gang vrøvl
59009097	være grebet ud af luften	være uden grundlag i virkeligheden; være frit opfundet
59000319	stikke halen mellem benene	stikke af eller opgive et forehavende fordi man er bange, har problemer eller lignende
59007934	have en lille fjer på	være lidt beruset
59012165	veje sine ord på en guldvægt	tænke nøje over hvordan man formulerer sig
59005686	surt show	bruges som kommentar til en meget uheldig eller ærgerlig situation
59012136	have nogen nede i sækken	være i klar vinderposition i en sportskamp idet man fuldstændig kontrollerer sin modstander
59005479	gå gennem ild og vand	gøre alt hvad der står i ens magt
59004780	se gennem fingrene med noget	lade være med at påtale en forsyndelse, fejl, mangel eller anden uregelmæssighed og på den måde vise overbærenhed
59005147	sætte en finger på noget	finde og udpege noget som årsag til en udvikling eller som hovedpunkt i en bestemt sammenhæng
59012877	hælde ned ad brættet	afvise fuldstændig
59005094	erfaren mand er god at gæste	af erfarne folk får man gode råd
59000965	hverken hoved eller hale	bruges for at udtrykke at noget er usammenhængende eller mangler idé og struktur
59007471	man må krybe før man kan gå	man bør begynde med simple og elementære opgaver før man giver sig i kast med komplicerede
59011723	give nogen horn i panden	bedrage en mand ved at have et seksuelt forhold til hans kone
59000995	ligge på den flade hånd	være helt oplagt eller umiddelbart tilgængelig
59007865	fuglen er fløjet	en bestemt (kriminel, eftersøgt) person er forsvundet
59006181	trække fronterne op	understrege uenigheden mellem to uforsonlige parter
59010389	forbuden frugt smager bedst	det er det man ikke har lov til, der virker mest tiltrækkende
59002999	gå i vasken	mislykkes fuldstændig; ikke blive til noget
59001177	jokke i spinaten	utilsigtet sige eller gøre noget dumt
59013164	klappe i sine små hænder	udtrykke (ukritisk) begejstring
59000003	oven i hatten	uden at man har ydet en indsats eller betalt for noget bestemt; som supplement til det man har fået
59001639	en hund i et spil kegler	person, genstand eller lignende der virker fremmed eller malplaceret i en bestemt sammenhæng
59008448	ingen kæde er stærkere end det svageste led	selv det bedste er utilstrækkeligt hvis blot en enkelt detalje er mangelfuld
59009844	tab og vind med samme sind	man bør ikke tage et nederlag for tungt, lige så lidt som man bør hovere over en sejr
59003566	ondt i håret	ondt i hovedet; tømmermænd
59001315	brede sig som ringe i vandet	blive mere og mere omfattende; udvikle sig hurtigt og uimodståeligt
59012235	blive slap i knæene	blive svag og eftergivende; blive overvældet af en følelse af ømhed, forelskelse eller lignende
59006771	lade en dør stå på klem	holde en mulighed åben
59009779	ikke kunne høre hvad man selv tænker	være omgivet af larm eller højrøstet snak så man ikke kan koncentrere sig
59009896	uden for pædagogisk rækkevidde	i en tilstand hvor ingen former for henvendelser eller sanktioner gør indtryk på én
59001307	være oppe på lakridserne	være energisk, opmærksom og opsat på at yde sit bedste
59000840	fyre kanonen af	skyde på mål i fodbold eller håndbold; ramme bolden hårdt i boldspil
59010074	tage med fløjlshandsker på nogen	behandle nogen blidt og nænsomt; tage særligt hensyn til nogen
59011722	det muntre køkken	bruges om en ustyrlig, meget livlig og evt. ødelæggende aktivitet eller gruppe af personer
59008924	smøge ærmerne op	ufortrødent og energisk gå i gang med en (svær) opgave
59013005	gå hen over hovedet på nogen	ikke blive forstået af nogen
59011897	springe over hvor gærdet er lavest	anstrenge sig mindst muligt for at opnå noget; vælge den nemmeste løsning
59006398	nogens hjerte springer et slag over	nogen bliver overrumplet af en stærk følelse, fx angst, glæde eller spænding
59006769	lege med ilden	foretage sig noget som man godt ved kan blive farligt eller få uheldige konsekvenser
59004111	over hals og hoved	hurtigt og uden tid til forberedelse
59009352	den der gemmer til natten, gemmer til katten	hvis man går og gemmer på sine værdier eller lignende til fremtiden, er der risiko for at man aldrig får gavn af dem
59011872	tage arven op efter nogen	stå ved sine forpligtelser i forhold til fortid eller oprindelse
59004438	slå sig på flasken	begynde at drikke meget alkohol (regelmæssigt); blive alkoholiker
59003377	mens græsset gror, dør horsemor	noget tager så lang tid at man ikke når det mål man har sat sig
59003864	det store dyr i åbenbaringen	noget som er nyt og anderledes, og som på kort tid har fået stor positiv eller negativ indflydelse inden for et bestemt (fagligt) område
59001425	gå i hundene	gå til grunde økonomisk, socialt og fysisk, ofte i forbindelse med alkoholmisbrug
59001193	ramme på kornet	beskrive præcist og rammende; ramme et ømt punkt hos nogen
59003978	sætte nogen fluer i hovedet	få nogen til at tro på en umulig plan eller fremtidsdrøm; give nogen falske forhåbninger
59009662	være i sikre hænder	være i sikkerhed eller under god behandling hos kyndige eller venlige mennesker
59007115	fare i flæsket på	komme i håndgemæng eller slåskamp med
59004442	smide over bord	sætte ud af kraft; kassere
59003269	gribe i egen barm	erkende egne fejl inden man påtaler andres; være selvkritisk
59013140	én på torsken	en lussing; et slag i hovedet
59013219	tage med sig i graven	ikke afsløre en hemmelighed eller lignende mens man lever
59010149	komme godt fra land	komme godt i gang; få en god start, især i en sportskamp eller -turnering
59007653	lægge to og to sammen	regne noget ud eller forstå noget der egentlig er ret simpelt
59011812	ofre noget på kærlighedens alter	give afkald på noget værdifuldt til fordel for kærligheden
59004679	bange for sin egen skygge	meget eller overdrevent nervøs eller utryg
59012612	det grå guld	modne og ældre personer (med gråt hår) betragtet som værdifuld arbejdskraft, fx pga. deres erfaring og stabilitet
59008372	spil for galleriet	teatralsk eller hyklerisk optræden, især for at behage nogen
59004098	en pind til nogens el. nogets ligkiste	en medvirkende årsag til en (uheldig, ulykkelig eller uønsket) afslutning på et forløb, en karriere eller lignende
59002254	sidde klistret til skærmen	være stærkt optaget af at se fjernsyn
59002216	krybe i et musehul	(i tankerne) skjule sig fordi man føler sig pinligt berørt
59000978	kun en tåbe frygter ikke havet	man skal være meget forsigtig når man har med havet at gøre
59011866	forslå som en skrædder i helvede	være helt utilstrækkeligt i en bestemt henseende
59011456	det melder historien ikke noget om	noget bestemt hører ikke til beretningen eller sagen, fx fordi det er uvedkommende, hemmeligt eller omstridt
59008919	have fat i den lange ende	være på sporet af en sags rette sammenhæng; være inde på noget af det rigtige
59012594	den der sår vind, høster storm	den der kritiserer nogen eller gør nogen fortræd, rammes selv endnu hårdere
59008517	tisse i bukserne for at holde varmen	gøre noget der hjælper på kort sigt, men forværrer tingene på langt sigt
59003666	tage nogen ved vingebenet	give nogen en kraftig irettesættelse; udsætte nogen for stærk kritik
59009394	hvis og hvis min røv var spids	bruges for at afvise samtalepartnerens forbehold og bekymrede forestillinger om fremtiden
59000325	prinsen på den hvide hest	attraktiv mand som man drømmer om at have et romantisk forhold til
59010528	have meget om ørerne	have travlt
59007108	vælte læsset	forhindre noget i at lykkes; ødelægge noget
59004300	stikke en kniv i ryggen på nogen	angribe nogen som tror at angriberen er en forbundsfælle
59003694	stille sig på bagbenene	være modvillig eller genstridig; (prøve at) forhindre noget
59004732	slag i bolledejen	energisk, utraditionel og undertiden provokerende fremgangsmåde, handling eller lignende
59004492	være en spurv i tranedans	ikke være så fornem som de andre; deltage i noget man ikke er egnet til
59011848	lukke for det varme vand	ikke ville yde mere af noget
59001743	vente på at stegte duer skal flyve ind i munden på én	vente på eller regne med at livets goder kommer til én uden at man skal yde noget særligt for at opnå dem
59004181	sætte til vægs	besejre, overvinde; forhindre i at gøre sig gældende
59004509	en klods om benet på nogen	person, genstand eller anden omstændighed der gør nogen ufri eller er til besvær
59007476	gå ud af sit gode skind	være psykisk ude af balance af vrede, sorg, nervøsitet, irritation, længsel eller lignende
59006533	smide barnet ud med badevandet	ødelægge noget værdifuldt idet man forkaster eller ændrer noget andet
59006351	hu hej vilde dyr	bruges for at udtrykke at noget foregår med stor fart, eller at noget haster
59012151	toppen af isbjerget	en lille del af noget meget større, ofte noget ubehageligt
59005676	hver fugl synger med sit næb	enhver har sin særegne måde at udtrykke sig på
59006964	slå koldt vand i blodet	dæmpe sin ophidselse eller begejstring; tage det roligt
59006869	når der er to torsdage i en uge	bruges for at udtrykke at noget er helt usandsynligt
59009706	krig på kniven	situation med skærpet konkurrence eller fjendtlighed mellem to parter
59012548	med et glimt i øjet	med udstråling af humor og afslappet indstilling
59006417	kunne bide tungen af sig selv	fortryde at have sagt en bestemt bemærkning
59007677	man kan ikke både blæse og have mel i munden	man kan ikke på samme tid gøre to ting der er indbyrdes forskellige eller uforenelige
59002218	man har et standpunkt til man tager et nyt	omstændighederne kan gøre det nødvendigt, relevant eller praktisk (pludselig) at skifte mening eller holdning
59006010	være en hund efter noget	have stor interesse for eller lyst til noget
59001192	der går et lys op for nogen	nogen forstår eller erkender pludselig
59009630	sælge nogen en trepattet ko	få nogen til at acceptere noget ved at foregive at det er noget andet end det er; snyde nogen
59009162	gøre en myg til en elefant	overdrive; tillægge en lille sag (for) stor betydning
59006836	gå over åen efter vand	gøre noget mere besværligt end man behøver; udføre unødvendigt arbejde
59007100	ingen kan tjene to herrer	man er nødt til at træffe et valg; man kan ikke gå aktivt og helhjertet ind for flere helt forskellige sager
59006904	bide tænderne sammen	tage sig sammen og undertrykke sine egentlige følelser for at klare en vanskelig situation
59007774	skulle have noget ind med skeer	skulle have noget forklaret på en langsom og udførlig måde (fordi man er langsomt opfattende)
59003542	lægge hovedet i blød	tænke sig godt om for at finde en løsning eller få en idé
59000886	pynte sig med lånte fjer	tage æren for andres præstationer
59001191	det er mig, sagde hunden	bruges som bagatelliserende udtryk når man nævner sig selv i en sammenhæng hvor også andre indgår
59001615	gå op i hat og briller	udvikle sig i en utilsigtet, ofte løssluppen eller komisk retning
59004097	stå med håret i postkassen	være i en problematisk situation hvor man føler sig magtesløs, evt. som følge af at man er blevet skuffet, svigtet eller narret
59003474	smile i skægget	more sig på en underfundig eller skadefro måde
59000314	gyde olie på vandene	dæmpe ophidselse og strid
59003697	den der graver en grav for andre, falder selv i den	den person der lægger planer om at narre eller skade en anden, risikerer selv at blive offer for disse planer
59001616	lykken står den kække bi	dristige, frejdige mennesker er ofte også heldige
59003214	kræve nogens hoved på et fad	kræve at nogen bliver straffet, afskediget eller lignende (pga. en forseelse)
59010597	bringe blodet i kog	gøre rasende eller (seksuelt) ophidset
59004146	tage bladet fra munden	sige sin mening rent ud
59004105	kolos på lerfødder	noget stort som udadtil virker solidt og magtfuldt, men som i virkeligheden er skrøbeligt
59011963	slå ind på en anden vej	ændre sin tilgang eller måde at agere på i forhold til et bestemt mål, typisk som reaktion på uventede omstændigheder eller for at opnå bedre resultater
59005320	støbe kuglerne	være den der udtænker, planlægger og styrer udførelsen af en idé
59010201	have krudt i røven	fare omkring; være meget foretagsom
59013194	ikke have en snebolds chance i helvede	ikke have den mindste chance for noget
59008888	når katten er ude, spiller musene på bordet	undlader man at holde opsyn, fører det til kåd opførsel og uorden
59010853	stirre sig blind på noget	koncentrere sig så meget om noget at man mister overblikket eller bliver ude af stand til at tage andre forhold i betragtning
59009594	der er løbet meget vand i stranden siden ..	der er sket meget siden ..; der er gået lang tid siden ..
59000867	slå til skaglerne	slå sig løs og more sig
59005442	øje for øje, tand for tand	hævnprincip der går ud på at man skal begå samme type skadelige handling mod nogen som vedkommende har begået mod en selv
59005691	håbet er lysegrønt	det er menneskets natur at bevare optimismen og se det positive
59005132	vende og dreje hver femøre	være meget sparsommelig
59011181	proppe noget ned i halsen på nogen	påtvinge nogen noget
59001617	tale for sin syge moster	snakke løs for at opnå noget bestemt, fremme sine egne interesser eller lignende
59005687	til den store guldmedalje	energisk, dygtigt eller med held
59003590	kaste under bussen	ofre eller forråde nogen for selv at få en fordel af det
59013109	holde næsen i plovfuren	arbejde med eller koncentrere sig om én ting på bekostning af alle andre
59001655	stampe op af jorden	skaffe eller samle til et bestemt formål, ofte hurtigt eller på vanskelige betingelser
59008422	svare i øst når der spørges i vest	svare på en måde der ikke giver mening i forhold til spørgsmålet
59007321	et greb i lommen	en større eller mindre sum penge som nogen har let ved at betale
59013122	smide gode penge efter dårlige	fortsætte med at bruge penge på et foretagende som er usikkert, eller som hidtil er mislykkedes
59000794	piben får en anden lyd	der sker en markant ændring, fx i nogens opførsel eller holdning
59011058	spille på flere heste	satse på flere forskellige muligheder samtidig
59000315	ikke syv vilde heste kan ..	absolut intet kan ..
59011857	den enes død, den andens brød	tab og ulykke der rammer nogen, kan være til gavn for andre
59006045	bære kappen på begge skuldre	holde sig gode venner med begge parter i en strid; udvise en tvetydig, upålidelig holdning
