talemaade_udtryk	A	B	C	D
historiens vingesus	hvislende eller susende lyd som historien laver	bruges for at udtrykke en stærk oplevelse af historiens nærvær og betydning ved en bestemt lejlighed, fx ved overværelse af en historisk begivenhed mens den finder sted, eller ved tilstedeværelse dér hvor en sådan begivenhed engang fandt sted	virke oprørende eller stødende på nogen; vække nogens modvilje eller betænkelighed	et afgørende vendepunkt i en (skriftlig) fortælling
hellere lille og vågen end stor og doven	blive udsat for en grov behandling eller gennemgribende forandring	det går udmærket an at være lille af vækst når man blot er kvik og energisk	tykke mennesker har tendens til at være dovne	det er at foretrække at være lille og vågen fremfor stor og doven
langt mellem snapsene	få højdepunkter eller interessante begivenheder	man vinder en mands kærlighed ved at lave god mad til ham	lang tid mellem situationer hvor man drikker snaps	god tid til at skifte transportmiddel fx mellem bus og tog eller lignende
gammel i gårde	som længe har haft en nær tilknytning til fx en bestemt arbejdsplads eller en bestemt gruppe mennesker, og som derfor er særlig fortrolig med forholdene	med en landbrugsteknisk uddannelse	få nogen til at acceptere noget ved at foregive at det er noget andet end det er; snyde nogen	som har arbejdet på de samme gårde hele livet
ligne udskidt æblegrød	sagen er i orden	ikke gøre sig umage med sit udseende	se meget træt og sløj ud	have samme konsistens og udseende som afføring ved dårlig mave
med hovedet under armen	med et hoved båret under den ene arm	med stor velvilje	få en strid til at udvikle sig (igen)	uden at tænke sig om
trække store veksler på nogen	stille (for) store krav til nogens velvilje eller hjælp	mindre fejl eller skavank; ubetydelig detalje	låne (for) mange penge af nogen	skabe en succes på grundlag af en andens idé
ikke lutter lagkage	sunde snacks (og ikke kun slik og søde sager)	ikke blot lagkage (eller andre konditorkager)	tilintetgøre; vinde over	ikke kun let og behageligt og uden fortrædeligheder; ikke den rene idyl
føle sig hjemme	en lykkelig slutning på et forløb overskygger de evt. negative sider der måtte have været undervejs	være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker	have samme fornemmelse som når man er hjemme	forstå noget fuldkomment
sætte ræven til at vogte gæs	overlade behandlingen af en sag til nogen der selv har en åbenlys interesse i et bestemt udfald	bestille et lejemord	ikke smage af noget; være kedelig eller uinteressant i smagen	træne en ræv til at passe en bestand af fjerkræ
frem og tilbage er lige langt	hindre eller bekæmpe noget inden det når at udvikle sig	ruten ud og ruten hjem er den samme	når man har været igennem noget én gang ved man, hvad der venter	bruges for at udtrykke ærgrelse over at der ikke er sket fremskridt trods mange anstrengelser
mange bække små gør en stor å	der dannes en stor å når mange små vandløb løber sammen	mange mindre forekomster, bidrag eller lignende som hver for sig ikke udgør noget særligt, kan tilsammen udgøre noget stort eller på anden måde betydningsfuldt	selv i lavt vand skal man holde godt øje med badende børn	kræfter der energisk og måske selvopofrende er sat ind på en opgave, men senere viser sig at være anvendt forgæves
gå op i sømmene	bryde psykisk sammen; gå amok	gå unødigt meget op i (ubetydelige) detaljer	opføre sig på en indbildsk, overlegen eller arrogant måde	gå i stykker på det sted hvor to dele er syet sammen
glat som en ål	ikke være særlig gavmild; ikke lade nogen få noget for nemt	lige så glat som overfladen på en ål	undvigende og svær at fastholde i en diskussion; upålidelig	nem at håndtere eller bearbejde
falde nogen for brystet	vække nogens interesse	falde nogen om armene; kollapse lige foran nogen	virke oprørende eller stødende på nogen; vække nogens modvilje eller betænkelighed	fjerne fra en post, en stilling eller lignende
mele sin egen kage	(være i stand til at) planlægge og udføre en svær opgave uden betydelig hjælp fra andre	tilføje mel til sin kagedej	pleje sine egne interesser uden at tage hensyn til andre; kun tænke på sig selv	den idé, den plan, det forslag eller lignende bliver ikke til noget
holde nogen til ilden	sørge for at fastholde nogens interesse eller indsats for noget	fastholde nogen tæt på et bål	bruges når man gentager noget eller siger det ekstra tydeligt fordi samtalepartneren er lidt tungt opfattende	opfordre en enlig person til at lede efter en kæreste, fx ved at gå mere i byen
gå forkert i byen	tage fejl	kede sig i samvær med andre, fx på en bytur	fare vild i en by	tab og ulykke der rammer nogen, kan være til gavn for andre
det er ikke raketvidenskab	det er ikke lige så prestigefyldt eller kompliceret som raketvidenskab	det er ikke særlig kompliceret, avanceret eller svært at forstå	bruges for at udtrykke at en naturvidenskabelig indstilling ikke er den rigtige	sætte ud af kraft; kassere
kaste nogen for løverne	være oplagt (til noget)	bede nogen forlade et sted, fx pga. dårlig opførsel	udsætte nogen for en meget ubehagelig behandling	kaste nogen hen foran løver
spænde ben	gå til yderligheder for at hjælpe	et udfald er forbundet med samme usikkerhed som kønnet på et endnu ufødt barn, dvs. er ikke til at forudsige	lægge hindringer i vejen for noget; gøre noget vanskeligt eller umuligt for nogen	få musklerne i lår og lægge til at trække sig sammen
ikke ane hvilket ben man skal stå på	bruges som forsikring om at noget er eller vil vise sig at være usandt	ikke vide hvordan man skal reagere i en bestemt situation; være stærkt i tvivl om sin holdning til en sag	være ude af stand til at stå oprejst	ikke kunne afgøre hvilket ben man skal lægge sin vægt på
slå hånden af nogen	presse nogen til at afsløre noget som vedkommende forsøger at skjule	svigte nogen ved fx at afbryde kontakten med vedkommende	slå nogen hårdt over fingrene	forhindre nogen i at bevæge sig
rande under øjnene	hudparti af mørkere farve under øjnene fx pga. træthed	umiddelbart (og upræcist) gæt foretaget uden tænkepause	hovedpine der opstår fordi man ser for meget på en skærm	tydelige striber under øjnene
hellere ville brække en arm på langs end ..	bruges for at udtrykke modvilje og ubehag over nogens handlinger	være villig til at få et kompliceret knoglebrud i armen for at undgå en situation	bruges som bagatelliserende udtryk når man nævner sig selv i en sammenhæng hvor også andre indgår	bruges som udtryk for at nogen stiller sig totalt afvisende
køre sit eget løb	køre hurtigere end en lovbestemt hastighedsgrænse tillader	deltage i et væddeløb som man selv har arrangeret	have en meget god hørelse	være ligeglad med andre på en uansvarlig måde; ikke bidrage til fællesskabet
skide grønne grise	bruges for at udtrykke hvor svært det er for mennesket at give afkald på materielle goder til fordel for åndelige værdier	have afføring der ligner grønne grise	være meget bange, nervøs eller lignende	være bragt ud af psykisk ligevægt i kraft af forargelse eller chok
åbne for sluserne	det ydre giver ikke nødvendigvis udtryk for de indre, sande kvaliteter hos noget eller nogen, eller for hvordan noget i virkeligheden forholder sig	lade noget flyde frit og voldsomt; give frit løb for noget	tænde for komfuret	åbne for passage af vand et eller flere steder i et vandreguleringsanlæg
operationen lykkedes, men patienten døde	uden omsvøb; ukompliceret og ligetil	bruges for at udtrykke at der er blevet brugt mange resurser på at opnå et resultat der ikke er tilfredsstillende eller decideret strider mod det ønskede	uanset hvor godt man udfører en opgave, forbereder sig på en situation eller lignende, er et godt resultat aldrig garanteret	det kirurgiske indgreb forløb som ønsket, men patienten overlevede ikke på trods af indgrebet
efter alle kunstens regler	som følger en kunstarts regler	på den bedst tænkelige eller mulige måde; så alle tænkelige regler og normer er overholdt	med langstrakte og somme tider unødvendige overvejelser	være så langt væk allerede at det er håbløst at optage forfølgelsen
holde nogen på pinebænken	fastholde nogen på en briks ellerlign. hvor de udsættes for en ubehagelig medicinsk behandling	sætte nogen i en situation hvor vedkommende meget utålmodigt er nødt til at vente på noget, fx at få vished eller få indfriet sine forventninger	være dum eller uvidende om et bestemt forhold	holde nogen udenfor
ude på dybt vand	i en usikker, risikofyldt eller vanskelig situation; i knibe	i vand der er så dybt at man ikke kan bunde	konstatere som en ubestridelig kendsgerning	om et emne man ikke ved noget om
det skal du længere ud på landet med	man bliver fri for en sorg eller bekymring; man bliver lettet	denne genstand hører til i et område længere væk fra byen end her	bruges for at udtrykke at man ikke tror på det samtalepartneren siger, fordi det er for usandsynligt eller løgnagtigt	bruges for at udtrykke at noget skal flyttes eller have en ny plads
sætte kroner og øre på noget	fastsætte en pris på noget; præcisere et beløb	først når dagen er forbi, kan man vide hvad den har bragt	satse på at en bestemt begivenhed vil indtræffe	lægge sine penge et sted
ligeved og næsten slår ingen mand af hesten	man bliver ikke slået af hesten hvis man er kun tæt på at ramme en forhindring	hvis man har ramt forbi eller lidt nederlag, er det ligegyldigt hvor meget eller lidt man har fejlet	hvis man gør tingene sjusket eller delvist kan man ikke forvente et godt resultat	meget højtliggende bjergområde, især (land eller område i) Himalaya eller Pamir
underskrive sin egen dødsdom	give køb på egne holdninger og principper i en større sags tjeneste	underskrive en aftale der dømmer én selv til døden	handle således at konsekvenserne for éns eksistens, anseelse eller lignende bliver meget alvorlige	blive mere forsigtig og tilbageholdende; (begynde at) holde lav profil
have et horn i siden på	være udstyret med et horn i en af siderne	være vred på; bære nag til	foretage sig alt muligt for at nå et bestemt mål	have et godt øje til; være vild med
have flossede kanter	være flosset langs kanten -- fx om bog	gøre en konflikt eller spændt situation værre, fx ved at komme med provokerende bemærkninger	have visse fejl og mangler som ikke tidligere var der	have plads til forbedring
komme ud af fjerene	hellere begynde på noget ubehageligt eller vanskeligt straks og få det overstået end udskyde det	(endelig) sige sin mening om nogen eller noget	(med besvær) stå ud af sin seng om morgenen	afklæde sig det fjerklædte stykke tøj man netop har haft på
få svesken på disken	uden virkning; forgæves	lægge en sveske på en disk	servere en madret eller dessert der indeholder tørrede svesker	meddele noget åbent og uden omsvøb; få sandheden på bordet
tone rent flag	ét eksempel på noget positivt medfører ikke nødvendigvis en generel bedring	spille den tone der kaldes "rent flag"	åbent og ærligt give udtryk for sine holdninger eller hensigter i stedet for at lægge skjul på dem	stemme instrumenterne i et symfoniorkester
drikke nogen under bordet	være omgivet af larm eller højrøstet snak så man ikke kan koncentrere sig	få nogen til at drikke så meget at de falder ned af deres stol og lander under bordet	drikke alkoholiske drikke (om kap) sammen med nogen så denne drikker for meget	få nogen til at drikke så meget at de kommer til at tale over sig
smage som at række tungen ud ad vinduet	have en kølig og frisk smag; være forfriskende	trække sig tilbage for at forrette sin nødtørft	opleves grænseoverskridende og forkert	ikke smage af noget; være kedelig eller uinteressant i smagen
sætte kikkerten for det blinde øje	foretage sig noget som man godt ved kan blive farligt eller få uheldige konsekvenser	ryge på en pibe	undlade at bemærke eller reagere på noget, fx som udtryk for forsømmelighed, overbærenhed eller for at undgå noget ubehageligt	bruge en kikkert selvom man kun kan se med det ene øje
vippe af sadlen	på den bedst tænkelige eller mulige måde; så alle tænkelige regler og normer er overholdt	fjerne fra en post, en stilling eller lignende	skubbe af en saddel	(gøre tilnærmelser og) overtale en person til seksuelt samvær
riste over en sagte ild	ihærdigt og vedholdende arbejde på at nå et mål man har sat sig for	udsætte for et langvarigt og ubehageligt pres	stege over et lille bål	fremstille eller udvikle over lang tid
kunne tælles på én hånd	findes i et meget lille antal (fem eller færre)	ikke gøre indtryk; ikke være overbevisende	være maksimalt fem	en større eller mindre sum penge som nogen har let ved at betale
sælge sand i Sahara	udnytte de materialer man har for hånden	besejre, overvinde; forhindre i at gøre sig gældende	være meget dygtig til at sælge, især en vare som allerede findes til overflod og derfor ikke er efterspurgt	(være i stand til at) sælge sand som råstof i Sahara
lægge kortene på bordet	afsløre hvor en person bor til trods for at personen selv helst vil holde det hemmeligt	man skal kæmpe sig op med samme middel som var årsag til at man led nederlag, blev skadet eller lignende	fremlægge en hidtil hemmeligholdt viden om en sag	placere samtlige spillekort i en bunke, fx for at blande dem
stikke hovedet i busken	lukke øjnene for virkeligheden; undlade at forsøge at løse problemerne	placere sit hoved i en busk	vente på en lejlighed til at foretage et (uventet) angreb	blande sig i noget der ikke vedkommer én
være nogens forlængede arm	kopiere holdninger og handlinger fra en anden person	udgøre en persons armprotese	antage en mine som passer til lejligheden	optræde som betroet og loyal repræsentant for en overordnet autoritet
en streg i regningen	en ekstra streg i et nodesystem der skal lette forståelsen	tage et forpligtende, personligt ansvar der indebærer at man selv rammes af konsekvenserne af sine beslutninger	en uventet og uønsket hændelse, handling eller lignende	en streg på en kvittering, bon eller lignende -- kan fx angive at en udgift er slettet
ikke født i går	ikke dum eller naiv; ikke uden evner	ikke født for én dag siden	ikke længere ung; forholdsvis gammel	person som man synes er sur, fornærmet, kritisk, snerpet eller lignende
hænge ved nogens læber	kysse en person meget inderligt og lidenskabeligt	være placeret på nogens læbe	lytte spændt, opmærksomt og ofte hengivent til nogen	undvigende og svær at fastholde i en diskussion; upålidelig
surt løg	flerårig løgplante med små lilla blomster med syrlig smag der bruges som krydderurt	person som man synes er sur, fornærmet, kritisk, snerpet eller lignende	bortødsle noget værdifuldt på nogen der ikke forstår at værdsætte det	person som har en ubehagelig kropslugt, fx pga. sved
det rager mig en fjer	gøre nogen rasende; være irriterende	alt for dum	det interesserer eller bekymrer mig ikke det mindste	at skrabe fjer til sig (i forbindelse med plukning af fjerkræ)
sætte sig på den høje hest	indtage en magtposition; blive forfremmet	sætte sig op på en stor hest	(begynde at) opføre sig overlegent	være meget sparsommelig
tage noget tungt	begynde på en stor og evt. besværlig opgave	ærgre sig over noget eller være ked af noget	direkte fra en person selv; direkte fra en primær kilde	løfte noget tungt
koste en bondegård	være billigere nu end før i tiden; miste værdi	koste mange penge; være dyr	fortryde at have sagt en bestemt bemærkning	koste det samme som en gård med tilhørende land og evt. dyrehold
løvens gab	med tilkendegivelse af al tænkelig ydmyghed; meget indtrængende	trick udført på ski eller snowboard hvor man i luften danner en u-form med kroppen	en løves mund	meget farligt eller ubehageligt sted
nære en slange ved sin barm	have en slange rundt om kroppen	bruges for at udtrykke forbavselse over at nogen kan sige eller fortælle om noget så mærkeligt, vanvittigt, sladderagtigt eller lignende	være ondsindet; have slette intentioner	være venlig over for eller lave aftaler med nogen som senere opfører sig fjendtligt over for én
spille med skjulte kort	vægte egne ønsker højere end andres	være hemmelighedsfuld eller uærlig mht. det man foretager sig	gøre alt hvad der står i ens magt	spille et kortspil hvor ens medspillere ikke kan se hvilke kort man har
hverken vådt eller tørt	em smule fugtigt	hverken noget drikkeligt eller noget spiseligt	bruges i udtryk om at mangle den rette påklædning i en bestemt situation	være længe om at skride til konkret handling; være længe om at træffe en beslutning
naturens muntre søn	mand der godt kan lide at vise sig uden påklædning i det offentlige rum	mand eller dreng med et glad, ukompliceret eller oprindeligt væsen	betro sig	glad mand der bor i naturen
en tynd kop te	noget som man synes er overfladisk, uinteressant eller uden vægtigt indhold	en kop te der ikke har trukket så længe	gå energisk i gang med noget og arbejde ihærdigt med det	noget som ikke lever op til forventningerne
jeg vil æde min hat på ..	lige netop klare en økonomisk betrængt situation; med nød og næppe klare en prekær situation	være så sikker på noget at man lover at ville æde sin hat hvis det ikke passer	bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig	bruges for at gøre opmærksom på at en person er ved at bilde en anden person noget ind; bruges for at påpege at nogen ikke taler sandt
én gang skal jo være den første	på et eller andet tidspunkt skal man gøre noget som man ikke har gjort før	somme tider må man være modigere end man har lyst til at være	den første gang man udfører en specifik handling er præget af at man ikke har udført den før	en medvirkende årsag til en (uheldig, ulykkelig eller uønsket) afslutning på et forløb, en karriere eller lignende
trække en kanin op af hatten	pludselig indser man noget, ofte en sags rette (og ubehagelige) sammenhæng	trække en kanin op af en hat -- ofte i forbindelse med tryllekunst	trække tiden eller holde nogen hen, fx ved at vise billeder af nogen	gøre noget overraskende, fx komme med en ny og uventet oplysning i en debat for at skabe opmærksomhed
vide hvordan landet ligger	være klar over den aktuelle situation	vide hvordan et afgrænset landområde ser ud	endelig forstå et komplekst emne	sige det som en anden ville have sagt
ingen kender dagen før solen går ned	der sker en dårlig udvikling på et bestemt område	først når dagen er forbi, kan man vide hvad den har bragt	ingen kender til en dag før solen er gået ned	nogle hemmeligheder tager man med sig i graven
ikke vide hvor man skal ende og begynde	åndelig og legemlig sundhed hænger sammen, og begge dele skal plejes	ikke vide hvordan man skal handle eller komme i gang med noget	være i tvivl om hvordan man starter og derefter også afslutter noget	være nybegynder inden for en disciplin, fx et håndværk eller en sportsgren
lægge ansigtet i de rette folder	lyve for at undgå en konflikt	gøre nogen fortræd; genere nogen	antage en mine som passer til lejligheden	placere en afdød persons ansigt på en måde der er passende for et ligsyn
i sit ansigts sved	uden evne til at undertrykke symptomer på angst	under store anstrengelser	med sved løbende ned ad ansigtet pga. voldsom varme eller anstrengelse	ikke vide hvordan man skal handle eller komme i gang med noget
skære nogen i hjertet	bruges for at udtrykke at man er helt sikker i sin sag	skære i nogens hjerte	gøre nogen ked af det; vække nogens medynk	gøre et positivt indtryk på andre; have stor udstråling og charme
en gave fra himlen	folk vil ikke høre eller erkende sandheden	en uventet, men yderst kærkommen begivenhed eller hændelse	en pludselig og stor mængde nedbør	en gave der er dumpet ned fra himlen
klæde sig i sæk og aske	vise tegn på anger eller sorg	eneste kvinde i en gruppe eller forsamling	iføre sig en sæk og noget aske	bede om hjælp som man desperat har brug for
bevæbnet til tænderne	med en bideskinne på tænderne i overmunden	udstyret med mange våben	med udsmykning på tænderne	ikke vide hvordan man skal reagere i en bestemt situation; være stærkt i tvivl om sin holdning til en sag
have mange bolde i luften	være i stand til at balancere arbejdsliv og fritid	gøre bekendt i en større kreds; offentliggøre	beskæftige sig med mange forskellige ting samtidig	kaste med bolde på en sådan måde at de alle sammen holdes i luften på én gang
løbe åbne døre ind	ankomme på en måde der sætter fokus på ens person	overbevise nogen om noget vedkommende allerede mener; fortsætte en aktivitet efter den ikke længere er relevant; kæmpe en kamp der allerede er vundet	udvikle sig i en utilsigtet, ofte løssluppen eller komisk retning	løbe ind i et rum
kvæle i fødslen	dræbe under en fødsel	hindre eller bekæmpe noget inden det når at udvikle sig	give en omgang tæsk	afbryde eller stoppe efter noget er gået galt
de tusind søers land	der sker en markant ændring, fx i nogens opførsel eller holdning	et land præget af rigdom og overflod	et land med tusind søer	Finland
slå nogen oven i hovedet med noget	have sympati eller interessefællesskab med begge (eller alle) de uenige parter	insistere på at nogen skal gøre noget bestemt, også selvom det er imod deres egne ønsker	slå nogen i hovedet med noget	argumentere (voldsomt) mod en andens mening, fx ved at fremhæve sin egen viden eller ved at fremføre indiskutable oplysninger
sommerfuglestøv på vingerne	skæl på sommerfugles vinger	være nært forestående eller snart bryde løs uden at ret mange venter det	uskyldighed; uberørthed	noget som er overflødigt men kærkomment; noget som fremkalder en følelse af luksus
nogen vender bøtten	nogen vender en beholder på hovedet, typisk for at få al indholdet ud	være helt oplagt eller umiddelbart tilgængelig	nogen løber en risiko	forholdet vendes om; noget tager en ny (og modsat) vending eller drejning
være med på noderne	følge med i hvad der sker i tiden; følge moden	kunne det man skal spille, udenad	være ansat til at spille et bestemt instrument i et orkester	bære modgang med styrke og sindsro
skille klinten fra hveden	ikke være helt identisk med noget bestemt (attraktivt), men dog ligne det lidt; være bedre end ingenting	sortere det dårlige fra det gode	skære et brød i skiver	klippe bevoksningen på en skrænt
æblet falder ikke langt fra stammen	ting bliver typisk væk i hjemmet	børn vælger ofte samme levevej eller har samme interesser som deres far eller mor	bruges for at udtrykke at der er blevet brugt mange resurser på at opnå et resultat der ikke er tilfredsstillende eller decideret strider mod det ønskede	et æble der falder ned sin gren vil typisk lande tæt på stammen
tale lige ud af posen	sige noget helt ærligt og uden omsvøb	ualmindelig sød og rar	forandre lyden af sin stemme ved at holde en papirpose, et stykke madpapir eller lignende op foran munden når man taler	råbe så højt som man overhovedet er i stand til
slå hovedet på sømmet	være afgørende eller udslagsgivende	med nød og næppe; kun lige akkurat	banke hovederne sammen	ramme et søm præcist med en hammer
der falder brænde ned	blot fordi noget ser ud til at være fint og værdifuldt, er det ikke ensbetydende med at det er det	nogen bliver eller vil blive skældt voldsomt ud pga. en begået forseelse	der falder kraftig nedbør	En bunke eller anden samling af brænde vælter og falder til jorden
rasle med sablen	have lommen fuld af mønter der rasler når man bevæger sig	gestikulere truende ved at vifte med et stikvåben i retning af en fjende	det som andre har, opfatter man (altid) som bedre end det man selv har	true med anvendelse af (militære eller politiske) magtmidler
som en åben bog	bruges for at udtrykke at noget er helt usandsynligt	uden besvær	uden overraskelser	lige så nem at gå til som en bog der allerede er åben
Rom blev ikke bygget på en dag	ryste meget, fx af skræk, ophidselse, nervøsitet eller kulde	det er en fordel at starte med et stort projekt tidligt for at undgå travlhed	store projekter er meget tidskrævende	det tog mere end en dag at bygge den italienske hovedstad Rom
fange nogen på det forkerte ben	fange nogen uden de har balancen	en begivenhed eller et fænomen bliver mindre spændende; nogen mister handlekraften eller interessen	overrumple nogen så vedkommende ikke kan nå at reagere hurtigt og rigtigt	opdage nogen i færd med at snyde
bide sig selv i halen	elendigt; talentløst	bide i sin hale	være uden løsning fordi løsningen uundgåeligt vil afføde et andet (nært beslægtet) problem	vise tegn på mistrivsel pga. dårlig behandling, fx på en skole eller en arbejdsplads
gå på krum arm	bruges for at udtrykke at noget foregår med stor fart, eller at noget haster	gå tæt omslyngede; være kærester	gøre sig umage og lykkes med sit forehavende	gå på hænder uden at have kontrol over det
jorden brænder under nogen	nogen lykkes og har stor succes	udnytte alsidige evner og muligheder	der er ild i den jord hvorover nogen befinder sig	nogen er i en presset eller faretruende situation
holde gryden i kog	opretholde en så høj temperatur på en væske i en gryde at væsken fortsat er i kog	holde et rum eller en bolig tilstrækkeligt varm	gøre noget for at holde en interesse eller et engagement ved lige eller en aktivitet i gang	hvis (for) mange personer deltager i noget, risikerer det at medføre et dårligt resultat
spille med åbne kort	spille et kortspil hvor ens medspillere kan se hvilke kort man har	være åben og ærlig mht. det man foretager sig	vægte fællesskab og sammenhold højere end personlig vinding	være i stand til at tænke klart; være tilregnelig
kaste perler for svin	på humoristisk vis udstille nogen for deres dårlige opførsel	anstrenge sig mindst muligt for at opnå noget; vælge den nemmeste løsning	efterlade perler i en svinesti	bortødsle noget værdifuldt på nogen der ikke forstår at værdsætte det
skyde over målet	ikke være rammende i sine udtalelser; overdrive	(forhandle med henblik på at) slutte fred eller indgå forlig	ramme over et tiltænkt mål	tale for meget i en social situation
der er ikke nogen hjemme	indstilling på nyere telefoner der afviser indkomne beskeder og opkald	bruges for at minde om at man bør nøjes med at beskæftige sig med de ting som man har kvalifikationer til	nogen er ikke særlig smart eller intelligent; nogen er (lidt) dum	en ellers beboet bolig er tom
holde snuden fra noget	holde næsen langt fra (fordi man ikke bryder sig om lugten)	holde sin hund væk fra noget	blande sig udenom; holde sig væk fra noget	have (skjulte) ambitioner eller drømme om at blive noget bestemt
verdens tag	et tag som er fælles for alle i verden	centralt sted for alle mennesker	meget højtliggende bjergområde, især (land eller område i) Himalaya eller Pamir	sortere det dårlige fra det gode
gammel vin på nye flasker	proces som man holder fast i selvom der findes nyere og mere effektive måder at gribe en sag an på	vin som man har iltet ved at hælde den over på en ny flaske	Finland	noget allerede velkendt som man ændrer lidt og forsøger at præsentere som noget nyt
til ingen verdens nytte	ikke til nytte for nogen eller noget i verden	de personer der tjener mest, bør betale mest til dækning af samfundets fælles udgifter	overhovedet ikke til nytte; helt overflødigt eller forgæves	stor personlig værdi på trods af ringe samfundsmæssig værdi
mosekonen brygger	en mosekone fremstiller en drik ved opvarmning eller kogning	det er tåget	noget ildevarslende er under opsejling; nogen smeder rænker	være dygtig og heldig i en bestemt sag eller i en bestemt henseende
alle veje fører til Rom	uskyldighed; uberørthed	Rom er Europas hovedstad	følger man en bestemt vej længe nok ender man i Rom	man kan komme frem til et mål på mange måder
helt nede i kælderen	i en tilstand præget af dårligt humør, sorg, depression eller lignende	på nederste etage, typisk placeret helt eller delvis under jordniveau	i starten af en længerevarende periode; den tidligste del af et forløb	sejle i de varme lande, i troperne
der kom en mand med en slæde i vejen	på samme sted, under samme organisation eller under samme institution	en mand med en slæde spærrer vejen for videre færd	der dukkede hjælp op fra en uventet kant	der dukkede pludselige eller uforudsete forhindringer op
give faklen videre	oplære nogen så de fremover kan udføre en bestemt opgave på egen hånd	give en (tændt) fakkel videre til nogen	overlade et hverv, fx en formands- eller ministerpost	penge har deres værdi uanset hvorfra de stammer, eller hvordan de er tjent
ved sine fulde fem	bruges som udtryk for at anvende hele hånden, fx når man gestikulerer	ifølge samtlige fem sanser	i stand til at tænke klart; tilregnelig	give nogen en kraftig irettesættelse; udsætte nogen for stærk kritik
give den en skalle	give klart udtryk for en holdning	forhindre noget i at lykkes; ødelægge noget	gøre en kraftig arbejdsindsats	ramme noget med toppen af hovedet
ikke give ved dørene	sørge for at andre føler sig velkomne i ens hjem	ikke være særlig gavmild; ikke lade nogen få noget for nemt	ikke give noget væk til nogen der kommer tilfældigt forbi ens dør	en lille del af noget meget større, ofte noget ubehageligt
kunne ligge på et meget lille sted	snyde nogen groft	være tilstrækkelig lille til at befinde sig på et lille afgrænset område	have et meget begrænset omfang	tilsyneladende være helt forsvundet
en orm gnaver	noget går endelig bedre efter længere tids modgang	have gode chancer; være i en fordelagtig situation	en orm spiser	noget nager én i længere tid
bide skeer med	man kan tage det roligt; man behøver ikke at skynde sig så meget	skille noget ad, især vha. et værktøj	samles om et måltid der spises med ske	have at gøre med; handle eller arbejde sammen med; konkurrere med
kært barn har mange navne	en person, en ting eller et fænomen som man godt kan lide eller interesserer sig for, har mange betegnelser	de børn som man holder meget af får altid mange kælenavne	den der modtager kærlighed, bliver meget kreativ	være presset til at gøre noget, fx under trusler eller med udsigt til et ubehageligt alternativ
skære ind til benet	reducere omkostningerne til noget mest muligt	tale nedsættende og i vrede vendinger	leve sammen og altid være uenige og skændes	skille kød fra en knogle med en kniv
sætte sin hat som man vil	placere sin hat på den måde man selv ønsker	udføre noget uden at tage imod råd og vejledning fra andre	overlade behandlingen af en sag til nogen der selv har en åbenlys interesse i et bestemt udfald	opføre eller udfolde sig uden hensyntagen til gængse normer; gøre som man vil
være stor i munden	bruge store ord når man taler	af al magt; uhæmmet	tale uden at have tænkt sig om	have en påfaldende stor mund
feje for sin egen dør	rette egne fejl og mangler før man blander sig i andres	gøre rent foran sin hoveddør	kun deltage i et fællesarrangement såfremt det gavner én selv	bruges for at udtrykke at noget sanses eller mærkes meget intenst i kroppen
skulle bæres ud med fødderne først	være i en situation hvor det er nødvendigt at blive båret væk i en liggende stilling	karakteriseret ved at være diametralt modsat af noget på forhånd kendt eller netop omtalt	ønske at forandre et sted fuldstændig	først forlade et sted eller holde op med en aktivitet når andre tvinger én dertil, eller når man dør
en kærlig hånd	bruges i udtryk om at nogen yder eller bør yde en engageret indsats for at hjælpe nogen, for at reparere noget, eller lignende	en hånd placeret på nogen som udtryk for omsorg eller kærlighed	seksuel stimulation udført med hænderne	ændre sin tilgang eller måde at agere på i forhold til et bestemt mål, typisk som reaktion på uventede omstændigheder eller for at opnå bedre resultater
rive sig i håret	anstrenge sig meget for at opnå noget bestemt	attraktiv mand som man drømmer om at have et romantisk forhold til	hive sig voldsomt i håret	udtrykke sin fortvivlelse
hverken fugl eller fisk	overbevise nogen om noget vedkommende allerede mener; fortsætte en aktivitet efter den ikke længere er relevant; kæmpe en kamp der allerede er vundet	bruges om en person der hverken rejser med fly eller skib	hverken det ene eller det andet; ikke tilstrækkelig; ikke anvendelig	hverken en fugl eller en fisk
kende noget som sin egen bukselomme	have noget at bebrejde en person der har gjort noget som har vakt éns utilfredshed eller vrede	være i stand til at gøre noget på egen hånd og uden instruktioner	kende noget særdeles godt	genkende noget ved at mærke på det
der er ikke noget at rafle om	melding i terningespillet Yatzy der bruges når en spiller har udtømt alle spillets muligheder for at få point	man må ikke spille hasard	afslutte, skjule eller lægge en dæmper på noget	intet er overladt til tilfældighederne; der er ikke noget at diskutere
lade falde hvad ikke kan stå	anstrenge sig; arbejde hårdt	døden indhenter os alle	slippe en genstand så den falder til jorden pga. manglende støtte	det der ikke kan klare sig eller lade sig gøre, må opgives, kasseres osv.
ikke lige være nogens nummer	ikke falde i en persons smag	være dårlig til noget	hudparti af mørkere farve under øjnene fx pga. træthed	ikke kunne passe samme størrelse sko som en anden person
